VocabularyEN,VovabularyCH,Category
abandon,v./n.放弃；放纵,GRE
abash,v.使害羞，使尴尬,GRE
abate,v.减轻，减少,GRE
abbreviate,v.缩短；缩写,GRE
abdicate,v.退位，辞职，放弃,GRE
aberrant,a.越轨的；异常的,GRE
aberration,n.离开正路，脱离常轨；变形,GRE
abet,v.教唆，鼓励，帮助,GRE
abeyance,n.中止，搁置,GRE
abhor,v.憎恨，嫌恶,GRE
abhorrent,a.可恨的，讨厌的,GRE
abide,v.容忍，忍受,GRE
abject,a.极可怜的;卑下的,GRE
abjure,v.发誓放弃,GRE
ablution,n.(宗教的)净礼，沐浴,GRE
abnegate,v.否认，放弃,GRE
abolish,v.废止，废除(法律、制度、习俗等),GRE
abolition,n.废除，革除,GRE
abominate,v.痛恨；厌恶,GRE
aboveboard,a./adv.光明正大的(地),GRE
abrade,v.磨损，磨小,GRE
abrasion,n.表面磨损,GRE
abrasive,a.磨损的；生硬粗暴的,GRE
abreast,adv.并列，并排,GRE
abridge,v.删减；缩短,GRE
abrogate,v.废止，废除,GRE
abscission,n.[医]切除，截去；[植]脱离,GRE
abscond,v.潜逃，逃亡,GRE
absenteeism,n.旷课，旷工,GRE
absolute,a.绝对的，完全的; 无(条件)限制的,GRE
absolve,v.赦免，免除,GRE
absorb,v.吸收；同化；吸引…的注意,GRE
abstain,v.禁绝，放弃,GRE
abstemious,a.有节制的，节俭的,GRE
abstention,n.节制,GRE
abstentious,a.节制的,GRE
abstract,n.摘要；a.抽象的,GRE
abstruse,a.难懂的，深奥的,GRE
absurd,a.荒谬的，可笑的,GRE
abundance,n.充裕，多量,GRE
abundant,a.丰富的，盛产的,GRE
abuse,v./n.辱骂; 滥用,GRE
abusive,a.漫骂的；毁谤的；虐待的,GRE
abut,v.接界，毗连,GRE
abysmal,a.极深的；糟透的,GRE
academic,a.学院的，学术的；理论的,GRE
academician,n.院士；学会会员,GRE
accede,v.同意,GRE
accelerate,v.加速；促进,GRE
accentuate,v.重读；强调,GRE
access,n.通路；途径,GRE
accessible,a.易达到的；易受影响的,GRE
accessory,a.附属的，次要的,GRE
acclaim,v.欢呼，称赞,GRE
acclimate,v.使服水土; 使适应,GRE
accolade,n.推崇；赞扬,GRE
accommodate,v.与…一致；提供食宿,GRE
accommodating,a.乐于助人的,GRE
accompany,v.伴随，陪伴,GRE
accomplice,n.同谋者，帮凶,GRE
accomplish,v.完成，做成功,GRE
accomplished,a.完成了的；有技巧的，有造诣的,GRE
accord,v./n.同意；一致,GRE
accost,v.搭话,GRE
accountability,n.负有责任,GRE
accrete,v.逐渐增长；添加生长；连生,GRE
accretion,n.自然的增加；增加物,GRE
accrue,v.(利息等)增大；增多,GRE
accumulate,v.积聚，积累,GRE
accuracy,n.精确，准确,GRE
accurate,a.精确的，准确的,GRE
accuse,v.谴责，指责,GRE
acerbic,a.苦涩的；刻薄的,GRE
acknowledge,v.承认；致谢,GRE
acme,n.顶点，极点,GRE
acolyte,n.(教士的)助手，侍僧,GRE
acorn,n.橡子，橡果,GRE
acoustic,a.听觉的，有关声音的,GRE
acquaint,v.使…熟知；通知,GRE
acquaintance,n.熟知；熟人,GRE
acquainted,a.对某事物熟悉的；对某人认识的,GRE
acquiesce,v.勉强同意，默许,GRE
acquired,a.后天习得的,GRE
acquisitive,a.渴望得到的，贪婪的,GRE
acquit,v.宣告无罪；脱卸义务和责任；还清(债务),GRE
acquittal,n.宣告无罪，开释,GRE
acrid,a.辛辣的，刻薄的,GRE
acrimonious,a.尖刻的，严厉的,GRE
acrimony,n.尖刻，刻薄,GRE
acrobat,n.特技演员，杂技演员,GRE
acrophobia,n.恐高症,GRE
acuity,n.(尤指思想或感官)敏锐,GRE
acumen,n.敏锐，精明,GRE
acute,a.灵敏的；[病]急性的,GRE
adage,n.格言，古训,GRE
adamant,a.强硬的；固执的,GRE
adapt,v.使…适应；修改,GRE
adaptable,a.有适应能力的；可改编的,GRE
addendum,n.补充，附录,GRE
addict,v./n.沉溺；上瘾(者),GRE
addition,n.增加，附加,GRE
additive,n.添加剂,GRE
address,v.处理，对付，着手解决；致词,GRE
adept,a.老练的，精通的,GRE
adequate,a.足够的,GRE
adhere,v.粘着,GRE
adherent,n.拥护者，信徒,GRE
adhesive,a.带粘性的，胶粘的；n.胶合剂,GRE
adjacent,a.接近的，毗连的,GRE
adjourn,v.使延期，推迟；休会,GRE
adjunct,n.附加物，附件,GRE
adjust,v.整顿，整理；适应,GRE
admire,v.钦佩，赞赏,GRE
admission,n.许可；入会费；承认,GRE
admonish,v.训诫；警告,GRE
adobe,n.泥砖，土坯,GRE
adolescent,a.青春期的；n.青少年,GRE
adopt,v.收养；采纳,GRE
adore,v.崇拜；热爱,GRE
adorn,v.装饰,GRE
adroit,a.熟练的，灵巧的,GRE
adulate,v.谄媚，奉承,GRE
adulterate,v.掺假,GRE
adumbrate,v.(对将来事件)预示,GRE
advent,n.到来，来临,GRE
adventitious,a.偶然的,GRE
adverse,a.不利的，相反的；敌对,GRE
advertise,v.做广告,GRE
advisable,a.适当的，可行的,GRE
advocacy,n.拥护，支持,GRE
advocate,>v.拥护，支持，鼓吹；n.支持者，拥护者,GRE
aegis,n.盾；保护，庇护,GRE
aerate,v.充气，让空气进入,GRE
aerial,a.空中的，空气中的,GRE
aesthete,n.审美家,GRE
aesthetic,a.美学的，有审美感的,GRE
affable,a.易于交谈的；和蔼的,GRE
affectation,n.做作，虚假,GRE
affected,a.不自然的；假装的,GRE
affection,n.爱,GRE
affidavit,n.宣誓书,GRE
affiliate,v.加入；联合,GRE
affiliation,n.联系，联合,GRE
affinity,n.密切关系；吸引力,GRE
affirm,v.确认；肯定,GRE
affix,v.粘上，贴上；在合同上添写某事物；n.词缀,GRE
afflict,v.使痛苦，折磨,GRE
affliction,n.悲痛，受难的起因,GRE
affluence,n.充裕，富足,GRE
affluent,a.富裕的，丰富的,GRE
affordable,a.能够支付的,GRE
affront,v.侮辱，冒犯,GRE
agenda,n.议程,GRE
agglomerate,v.凝聚，结块,GRE
aggrandize,v.增大，扩张；吹棒,GRE
aggravate,v.加重，恶化,GRE
aggregate,v.集合；合计,GRE
aggression,n.侵略；敌对的情绪或行为,GRE
aggressive,a.好斗的；进取的,GRE
aggressor,n.侵略者，攻击者,GRE
aggrieve,v.使受委屈；使痛苦,GRE
agile,a.敏捷的，灵活的,GRE
agility,n.敏捷,GRE
agitate,v.搅动，煽动；使不安，使焦虑,GRE
agitated,a.被鼓动的；不安的,GRE
agnostic,a.不可知论的,GRE
agog,a.兴奋的，有强烈兴趣的,GRE
agony,n.极大痛苦,GRE
agrarian,a.土地的,GRE
agreeable,a.令人喜悦的；欣然同意的,GRE
